Nome;Descrição;Categoria;Colaborador;Localização;Status;Empresa;Valor (€);Marca;Modelo;Número de Série;Data de Compra;Data de Garantia;Data de Criação;Última Atualização
Kit De Control De;Kit De Control De Llaves DinamoméTricas Universales para Implantes Dentales;Equipamentos;;;Ativo;ProStoral;€ 142.23;KUUY;;PS0193202510;19/04/2023;;16/10/2025;16/10/2025
TTL Speedlite, GN58 HSS;NEEWER Actualizado NW645II-C TTL Flash Speedlite, GN58 HSS Esclavo Optico Sincronización de Cortina Trasera Compatible con Canon EOS R6 R5 R3 R M6 850D 800D 760D 750D 650D 600D 7D Mark II 7D 6D;Equipamentos;;;Ativo;ProStoral;€ 100.40;NEEWER;;PS0194202510;06/04/2023;;16/10/2025;16/10/2025
TTL Speedlite, GN58 HSS;NEEWER Actualizado NW645II-C TTL Flash Speedlite, GN58 HSS Esclavo Optico Sincronización de Cortina Trasera Compatible con Canon EOS R6 R5 R3 R M6 850D 800D 760D 750D 650D 600D 7D Mark II 7D 6D;Equipamentos;;;Ativo;ProStoral;€ 100.40;NEEWER;;PS0195202510;06/04/2023;;16/10/2025;16/10/2025
28211 Super de Succión, 1;GIMA 28211 Super Vega Aspirador de Succión, 1 L;Equipamentos;;;Ativo;ProStoral;€ 185.20;GIMA;;PS0196202510;03/04/2023;;16/10/2025;16/10/2025
28211 Super de Succión, 1;GIMA 28211 Super Vega Aspirador de Succión, 1 L;Equipamentos;;;Ativo;ProStoral;€ 207.27;GIMA;;PS0197202510;27/03/2023;;16/10/2025;16/10/2025
OlyCelotti Tilt Mount, Motorized Tripod;OlyCelotti Pan Tilt Camera Mount, Motorized Tripod Head with Remote Control and Mobile Phone Clip for DSLR Cameras, Camcorders, Smartphones, Tripod (Limited Weight Under 2.2lb);Equipamentos;;;Ativo;ProStoral;€ 99.17;OlyCelotti;;PS0198202510;22/03/2023;;16/10/2025;16/10/2025
Samsung TV Crystal UHD;"Samsung TV Crystal UHD 2022 55BU8000 - Smart de 55"", 4K , Procesador Crystal UHD, Contast Enhancer con HDR10+, Q-Symphony y Alexa integrada.";Equipamentos;;;Ativo;ProStoral;€ 395.87;SAMSUNG;;PS0199202510;13/03/2023;;16/10/2025;16/10/2025
Robot 102 (con tiempo de;Vileda Robot aspirador VR 102 (con tiempo de funcionamiento extralargo y apertura de succión XL), blanco;Equipamentos;;;Ativo;ProStoral;€ 131.85;Vileda;;PS0200202510;24/01/2023;;16/10/2025;16/10/2025
Shock Doctor Soporte con;Shock Doctor Ultra Soporte para Rodilla con Bisagras Bilaterales, Hombre, Negro,  33 - 35.6cm;Equipamentos;;;Ativo;ProStoral;€ 80.00;Shock Doctor;;PS0201202510;10/01/2023;;16/10/2025;16/10/2025
PROSHIELD Junior Protectores, Unisex-Niños, 164;ALPINA PROSHIELD Junior Vest Protectores, Unisex-Niños, Black, 164;Equipamentos;;;Ativo;ProStoral;€ 58.27;ALPINA;;PS0202202510;10/01/2023;;16/10/2025;16/10/2025
