Nome;Descrição;Categoria;Colaborador;Localização;Status;Empresa;Valor (€);Marca;Modelo;Número de Série;Data de Compra;Data de Garantia;Data de Criação;Última Atualização
Jabra Evolve2 85 Auriculares;Jabra Evolve2 85 Auriculares Inalámbricos Estéreo con Cancelación de Ruido - Certificados para plataformas UC - Batería de Larga Duración - Adaptador Bluetooth USB-C - Negro;Equipamentos;;;Ativo;ProStoral;€ 210.57;Jabra;;PS0062202510;08/03/2025;;16/10/2025;16/10/2025
Jabra Evolve2 65 Auriculares;Jabra Evolve2 65 Auriculares Inalámbricos Estéreo PC con Cancelación de Ruido - Certificados para Microsoft Teams - Batería de Larga Duración - Adaptador Bluetooth USB-A - Negro;Equipamentos;;;Ativo;ProStoral;€ 160.45;Jabra;;PS0063202510;07/03/2025;;16/10/2025;16/10/2025
Auricular inalámbrico Poly Voyager;Auricular inalámbrico Poly Voyager Focus 2 UC con micrófono y soporte de carga - Anulación activa de ruido (ANC) - Conexión Bluetooth a PC/dispositivo móvil - Funciona con Teams (certificado) y Zoom;Equipamentos;;;Ativo;ProStoral;€ 160.00;Plantronics;;PS0064202510;07/03/2025;;16/10/2025;16/10/2025
Auricular inalámbrico Poly Voyager;Auricular inalámbrico Poly Voyager Focus 2 UC con micrófono y soporte de carga - Anulación activa de ruido (ANC) - Conexión Bluetooth a PC/dispositivo móvil - Funciona con Teams (certificado) y Zoom;Equipamentos;;;Ativo;ProStoral;€ 144.65;Plantronics;;PS0065202510;04/03/2025;;16/10/2025;16/10/2025
KIT Puerta Corredera BRAVO500;KIT Puerta Corredera BRAVO500;Equipamentos;;;Ativo;ProStoral;€ 219.75;Motorline;;PS0066202510;04/03/2025;;16/10/2025;16/10/2025
S Trio Cochecito 3 0;Maxi-Cosi Zelia S Trio Cochecito 3 Piezas, 0 - 4 Años, hasta 22 kg, Plegable, Compacto y Reclinable Silla de Paseo, con CabrioFix S i-Size Coche Bebé, Accesorios, Gris Oscuro;Equipamentos;;;Ativo;ProStoral;€ 273.64;Maxi-Cosi;;PS0067202510;26/02/2025;;16/10/2025;16/10/2025
Silicon Power 2-Pack 1TB;"Silicon Power 2-Pack 1TB SSD 3D NAND A55 SLC Cache Performance Boost SATA III 2.5"" 7mm (0.28"") Internal Solid State Drive";Equipamentos;;;Ativo;ProStoral;€ 84.29;Silicon Power;;PS0068202510;15/02/2025;;16/10/2025;16/10/2025
Green Cell® SAI Sistema;Green Cell® SAI Sistema de alimentación ininterrumpida UPS Potencia 2000VA (1400W) 230V Fuente de alimentación Continua Line Interactive AVR Onda sinusoidal Pura USB/RJ45 2X Schuko 3X IEC Tomas | LCD;Equipamentos;;;Ativo;ProStoral;€ 198.31;Green Cell;;PS0069202510;14/02/2025;;16/10/2025;16/10/2025
Black+Decker 2-en-1 Carro y;Black+Decker 2-en-1 Carro y Caretilla Plegable - Carretilla de Carga MAX. 55KG - Caretilla de Mano MAX. 120KG - Carro Plataforma con Ruedas Robustas - Plástico/Acero;Equipamentos;;;Ativo;ProStoral;€ 70.24;Black+Decker;;PS0070202510;14/02/2025;;16/10/2025;16/10/2025
"- Monitor juegos de 27""/68.6";"Amazon Basics - Monitor para juegos de 27""/68.6 cm, FHD 1080p, 165 Hz, compatible con VESA, sincronización adaptativa, respuesta de 1 ms, Negro";Equipamentos;;;Ativo;ProStoral;€ 126.09;Amazon Basics;;PS0071202510;13/02/2025;;16/10/2025;16/10/2025
